Country/Region,Province,Date
Afghanistan,,24/03/2020
Albania,,8/3/20
Algeria,,24/03/2020
Andorra,,16/03/2020
Angola,,24/03/2020
Antigua and Barbuda,,
Argentina,,20/03/2020
Armenia,,24/03/2020
Australia,Australian Capital Territory,
Australia,New South Wales,
Australia,Northern Territory,
Australia,Queensland,
Australia,South Australia,
Australia,Tasmania,
Australia,,24/03/2020
Australia,Western Australia,
Austria,,16/03/2020
Azerbaijan,,2/3/20
Bahamas,,20/03/2020
Bahrain,,25/02/2020
Bangladesh,,19/03/2020
Barbados,,28/03/2020
Belarus,,
Belgium,,17/03/2020
Belize,,30/03/2020
Benin,,
Bhutan,,6/3/20
Bolivia,,12/3/20
Bosnia and Herzegovina,,11/3/20
Botswana,,2/4/20
Brazil,,
Brunei,,
Bulgaria,,13/03/2020
Burkina Faso,,21/03/2020
Burma,,
Cabo Verde,,
Cambodia,,28/03/2020
Cameroon,,
Canada,,20/03/2020
Canada,Alberta,17/03/2020
Canada,British Columbia,18/03/2020
Canada,Manitoba,20/03/2020
Canada,New Brunswick,19/03/2020
Canada,Newfoundland and Labrador,18/03/2020
Canada,Northwest Territories,18/03/2020
Canada,Nova Scotia,22/03/2020
Canada,Ontario,14/03/2020
Canada,Prince Edward Island,16/03/2020
Canada,Quebec,12/3/20
Canada,Saskatchewan,18/03/2020
Canada,Yukon,18/03/2020
Central African Republic,,
Chad,,
Chile,,26/03/2020
China,,23/01/2020
China,Anhui,23/01/2020
China,Beijing,23/01/2020
China,Chongqing,23/01/2020
China,Fujian,23/01/2020
China,Gansu,23/01/2020
China,Guangdong,23/01/2020
China,Guangxi,23/01/2020
China,Guizhou,23/01/2020
China,Hainan,23/01/2020
China,Hebei,23/01/2020
China,Heilongjiang,23/01/2020
China,Henan,23/01/2020
China,Hong Kong,23/03/2020
China,Hubei,23/01/2020
China,Hunan,23/01/2020
China,Inner Mongolia,23/01/2020
China,Jiangsu,23/01/2020
China,Jiangxi,23/01/2020
China,Jilin,23/01/2020
China,Liaoning,23/01/2020
China,Macau,26/01/2020
China,Ningxia,23/01/2020
China,Qinghai,23/01/2020
China,Shaanxi,23/01/2020
China,Shandong,23/01/2020
China,Shanghai,23/01/2020
China,Shanxi,23/01/2020
China,Sichuan,23/01/2020
China,Tianjin,23/01/2020
China,Tibet,23/01/2020
China,Xinjiang,23/01/2020
China,Yunnan,23/01/2020
China,Zhejiang,23/01/2020
Colombia,,25/03/2020
Congo (Brazzaville),,
Congo (Kinshasa),,19/03/2020
Costa Rica,,15/03/2020
Cote dIvoire,,29/03/2020
Croatia,,22/03/2020
Cuba,,
Cyprus,,25/03/2020
Czechia,,16/03/2020
Denmark,Faroe Islands,12/3/20
Denmark,,11/3/20
Djibouti,,
Dominica,,
Dominican Republic,,17/03/2020
Ecuador,,24/03/2020
Egypt,,24/03/2020
El Salvador,,11/3/20
Equatorial Guinea,,
Eritrea,,
Estonia,,13/03/2020
Eswatini,,
Ethiopia,,16/03/2020
Fiji,,20/03/2020
Finland,,27/03/2020
France,French Guiana,
France,French Polynesia,27/03/2020
France,Guadeloupe,
France,Martinique,20/03/2020
France,Mayotte,
France,New Caledonia,
France,Reunion,
France,Saint Barthelemy,
France,St Martin,
France,,16/03/2020
Gabon,,
Gambia,,27/03/2020
Georgia,,22/03/2020
Germany,,20/03/2020
Ghana,,15/03/2020
Greece,,18/03/2020
Greenland,,
Grenada,,
Guatemala,,
Guinea,,
Guinea-Bissau,,
Guyana,,
Haiti,,
Honduras,,20/03/2020
Hungary,,16/03/2020
Iceland,,16/03/2020
India,,24/03/2020
Indonesia,,15/03/2020
Iran,,15/03/2020
Iraq,,22/03/2020
Ireland,,12/3/20
Israel,,12/3/20
Italy,,11/3/20
Jamaica,,12/3/20
Japan,,27/02/2020
Jersey,,18/03/2020
Jordan,,21/03/2020
Kazakhstan,,15/03/2020
Kenya,,15/03/2020
"Korea, South",,23/02/2020
Kosovo,,25/03/2020
Kuwait,,16/03/2020
Kyrgyzstan,,24/03/2020
Laos,,
Latvia,,13/03/2020
Lebanon,,16/03/2020
Liberia,,
Libya,,
Liechtenstein,,20/03/2020
Lithuania,,16/03/2020
Luxembourg,,16/03/2020
Madagascar,,17/03/2020
Malaysia,,18/03/2020
Maldives,,11/3/20
Mali,,18/03/2020
Malta,,12/3/20
Mauritania,,
Mauritius,,17/03/2020
Mexico,,14/03/2020
Moldova,,11/3/20
Monaco,,17/03/2020
Mongolia,,10/3/20
Montenegro,,24/03/2020
Morocco,,16/03/2020
Mozambique,,
MS Zaandam,,
Namibia,,14/03/2020
Nepal,,24/03/2020
