Country/Region,Population
Afghanistan,38742911
Albania,2878420
Algeria,43685618
Andorra,77240
Angola,32644783
Antigua and Barbuda,97764
Argentina,45111229
Armenia,2962137
Australia,25439164
Austria,8996022
Azerbaijan,10120555
Bahamas,392477
Bahrain,1688629
Bangladesh,164354176
Barbados,287305
Belarus,9449940
Belgium,11579477
Belize,396120
Benin,12055347
Bhutan,769867
Bolivia,11640159
Bosnia and Herzegovina,3284806
Botswana,2341649
Brazil,212253150
Brunei,436624
Bulgaria,6958627
Burkina Faso,20780371
Burma,54368170
Burundi,11814346
Cabo Verde,554750
Cambodia,16671185
Cameroon,26405174
Canada,37674770
Central African Republic,4812256
Chad,16324440
Chile,19082804
China,1446339367
Colombia,50771878
Comoros,865696
Congo (Brazzaville),5489191
Congo (Kinshasa),88972681
Costa Rica,5084636
Cote d'Ivoire,26239250
Croatia,4110214
Cuba,11327988
Cyprus,1205577
Czechia,10705012
Denmark,5788108
Djibouti,985027
Dominica,71950
Dominican Republic,10825682
Ecuador,17587526
Egypt,101930276
El Salvador,6479609
Equatorial Guinea,1392950
Eritrea,3536285
Estonia,1326357
Eswatini,1157707
Ethiopia,114357494
Fiji,895128
Finland,5539002
France,65822237
Gabon,2214593
Gambia,2402083
Georgia,3990681
Germany,83730223
Ghana,30936375
Greece,10433037
Grenada,112418
Guatemala,17846248
Guinea,13056478
Guinea-Bissau,1958132
Guyana,785788
Haiti,11373955
Holy See,801
Honduras,9871892
Hungary,9665192
Iceland,340795
India,1377233523
Indonesia,272931713
Iran,83771587
Iraq,40031626
Ireland,4926480
Israel,8627444
Italy,60479424
Jamaica,2958567
Japan,126552765
Jordan,10182442
Kazakhstan,18730568
Kenya,53521116
"Korea, South",51260395
Kosovo,1810366
Kuwait,4257495
Kyrgyzstan,6501804
Laos,7253719
Latvia,1890218
Lebanon,6831445
Liberia,5032469
Libya,6852010
Liechtenstein,38106
Lithuania,2729553
Luxembourg,623861
Madagascar,27539106
Malawi,19024426
Malaysia,32280610
Maldives,538558
Mali,20125282
Malta,441308
Mauritania,4623535
Mauritius,1271347
Mexico,128655589
Micronesia,114776
Moldova,4035814
Monaco,39186
Mongolia,3267320
Montenegro,628050
Morocco,36820713
Mozambique,31067362
Myanmar,54335948
Namibia,2531290
Nepal,29027347
Netherlands,17127290
New Zealand,4814272
Nicaragua,6608366
Niger,24014064
Nigeria,205052107
Niue,1624
North Korea,25756088
North Macedonia,2083391
Northern Mariana Islands,57490
Norway,5412632
Oman,5078933
Pakistan,219992900
Palau,18077
Panama,4300667
Papua New Guinea,8911530
Paraguay,7114524
Peru,32876986
Philippines,109280343
Poland,37854825
Portugal,10202571
Puerto Rico,2874636
Qatar,2870922
Romania,19262731
Russia,145922010
Rwanda,12883878
Saint Barthelemy,9871
Saint Helena,6073
Saint Kitts & Nevis,53123
Saint Lucia,183458
Saint Martin,38529
Saint Pierre & Miquelon,5800
Samoa,198147
San Marino,33917
Sao Tome & Principe,218308
Saudi Arabia,34701377
Senegal,16649599
Serbia,8744288
Seychelles,98224
Sierra Leone,7942879
Singapore,5840996
Sint Maarten,42776
Slovakia,5459116
Slovenia,2078881
Solomon Islands,683301
Somalia,15798020
South Africa,59154802
South Sudan,11166783
Spain,46751175
Sri Lanka,21395196
St. Vincent & Grenadines,110869
State of Palestine,5076280
Sudan,43632213
Suriname,585561
Sweden,10086531
Switzerland,8641786
Syria,17410293
Taiwan,23808164
Tajikistan,9492342
Tanzania,59368313
Thailand,69764925
Timor-Leste,1313184
Togo,8237580
Tokelau,1354
Tonga,105449
Trinidad and Tobago,1398579
Tunisia,11793319
Turkey,84153250
Turkmenistan,6012850
Turks and Caicos,38609
Tuvalu,11762
U.S. Virgin Islands,104456
Uganda,45427637
Ukraine,43785122
United Arab Emirates,9865845
United Kingdom,67814098
US,330610570
Uruguay,3471314
Uzbekistan,33368859
Vanuatu,305623
Venezuela,28451828
Vietnam,97160127
Wallis & Futuna,11276
Western Sahara,594215
Yemen,29687214
Zambia,18273379
Zimbabwe,14818157
Vanuatu,305623
Venezuela,28451828
Vietnam,97160127
Western Sahara,594215
Yemen,29687214
Zambia,18273379
Zimbabwe,14818157
